"StichtagDatJahr","AnzahlKinderUnmuendigLang_noDM","AnzahlKinderUnmuendigSort_noDM","AnzSche"
1993,"keine",0,967
1993,"1",1,257
1993,"2",2,217
1993,"3",3,26
1993,"4",4,8
1993,"5",5,0
1993,"6",6,0
1993,"Unbekannt",7,0
1994,"keine",0,962
1994,"1",1,270
1994,"2",2,186
1994,"3",3,30
1994,"4",4,5
1994,"5",5,1
1994,"6",6,0
1994,"Unbekannt",7,1
1995,"keine",0,959
1995,"1",1,284
1995,"2",2,204
1995,"3",3,28
1995,"4",4,9
1995,"5",5,1
1995,"6",6,1
1995,"Unbekannt",7,2
1996,"keine",0,985
1996,"1",1,299
1996,"2",2,210
1996,"3",3,42
1996,"4",4,8
1996,"5",5,2
1996,"6",6,0
1996,"Unbekannt",7,7
1997,"keine",0,1057
1997,"1",1,279
1997,"2",2,172
1997,"3",3,37
1997,"4",4,6
1997,"5",5,0
1997,"6",6,0
1997,"Unbekannt",7,6
1998,"keine",0,1090
1998,"1",1,288
1998,"2",2,207
1998,"3",3,41
1998,"4",4,6
1998,"5",5,1
1998,"6",6,0
1998,"Unbekannt",7,4
1999,"keine",0,1127
1999,"1",1,257
1999,"2",2,204
1999,"3",3,28
1999,"4",4,9
1999,"5",5,2
1999,"6",6,0
1999,"Unbekannt",7,1
2000,"keine",0,781
2000,"1",1,185
2000,"2",2,140
2000,"3",3,23
2000,"4",4,10
2000,"5",5,1
2000,"6",6,0
2000,"Unbekannt",7,0
2001,"keine",0,792
2001,"1",1,157
2001,"2",2,110
2001,"3",3,38
2001,"4",4,3
2001,"5",5,1
2001,"6",6,0
2001,"Unbekannt",7,6
2002,"keine",0,1205
2002,"1",1,265
2002,"2",2,171
2002,"3",3,29
2002,"4",4,0
2002,"5",5,0
2002,"6",6,0
2002,"Unbekannt",7,3
2003,"keine",0,1129
2003,"1",1,208
2003,"2",2,174
2003,"3",3,30
2003,"4",4,4
2003,"5",5,0
2003,"6",6,0
2003,"Unbekannt",7,0
2004,"keine",0,1160
2004,"1",1,238
2004,"2",2,153
2004,"3",3,27
2004,"4",4,1
2004,"5",5,1
2004,"6",6,1
2004,"Unbekannt",7,0
2005,"keine",0,1319
2005,"1",1,303
2005,"2",2,205
2005,"3",3,24
2005,"4",4,4
2005,"5",5,0
2005,"6",6,1
2005,"Unbekannt",7,0
2006,"keine",0,1354
2006,"1",1,265
2006,"2",2,154
2006,"3",3,16
2006,"4",4,0
2006,"5",5,1
2006,"6",6,0
2006,"Unbekannt",7,0
2007,"keine",0,1240
2007,"1",1,249
2007,"2",2,129
2007,"3",3,25
2007,"4",4,0
2007,"5",5,0
2007,"6",6,0
2007,"Unbekannt",7,0
2008,"keine",0,1185
2008,"1",1,231
2008,"2",2,144
2008,"3",3,24
2008,"4",4,2
2008,"5",5,1
2008,"6",6,0
2008,"Unbekannt",7,0
2009,"keine",0,1371
2009,"1",1,230
2009,"2",2,158
2009,"3",3,18
2009,"4",4,3
2009,"5",5,0
2009,"6",6,0
2009,"Unbekannt",7,0
2010,"keine",0,1538
2010,"1",1,264
2010,"2",2,159
2010,"3",3,27
2010,"4",4,3
2010,"5",5,0
2010,"6",6,0
2010,"Unbekannt",7,0
2011,"keine",0,1174
2011,"1",1,213
2011,"2",2,126
2011,"3",3,29
2011,"4",4,2
2011,"5",5,0
2011,"6",6,0
2011,"Unbekannt",7,0
2012,"keine",0,1000
2012,"1",1,223
2012,"2",2,128
2012,"3",3,17
2012,"4",4,2
2012,"5",5,3
2012,"6",6,0
2012,"Unbekannt",7,0
2013,"keine",0,1105
2013,"1",1,248
2013,"2",2,124
2013,"3",3,8
2013,"4",4,3
2013,"5",5,0
2013,"6",6,0
2013,"Unbekannt",7,0
2014,"keine",0,961
2014,"1",1,211
2014,"2",2,136
2014,"3",3,25
2014,"4",4,1
2014,"5",5,0
2014,"6",6,0
2014,"Unbekannt",7,0
2015,"keine",0,936
2015,"1",1,200
2015,"2",2,134
2015,"3",3,24
2015,"4",4,1
2015,"5",5,0
2015,"6",6,2
2015,"Unbekannt",7,0
2016,"keine",0,879
2016,"1",1,219
2016,"2",2,144
2016,"3",3,30
2016,"4",4,4
2016,"5",5,0
2016,"6",6,0
2016,"Unbekannt",7,0
2017,"keine",0,881
2017,"1",1,234
2017,"2",2,109
2017,"3",3,23
2017,"4",4,3
2017,"5",5,1
2017,"6",6,0
2017,"Unbekannt",7,0
2018,"keine",0,880
2018,"1",1,200
2018,"2",2,131
2018,"3",3,24
2018,"4",4,6
2018,"5",5,0
2018,"6",6,0
2018,"Unbekannt",7,0
2019,"keine",0,874
2019,"1",1,238
2019,"2",2,166
2019,"3",3,25
2019,"4",4,1
2019,"5",5,1
2019,"6",6,0
2019,"Unbekannt",7,0
2020,"keine",0,772
2020,"1",1,203
2020,"2",2,153
2020,"3",3,27
2020,"4",4,2
2020,"5",5,1
2020,"6",6,0
2020,"Unbekannt",7,0
2021,"keine",0,743
2021,"1",1,195
2021,"2",2,172
2021,"3",3,24
2021,"4",4,4
2021,"5",5,1
2021,"6",6,1
2021,"Unbekannt",7,0
2022,"keine",0,692
2022,"1",1,183
2022,"2",2,149
2022,"3",3,34
2022,"4",4,4
2022,"5",5,0
2022,"6",6,0
2022,"Unbekannt",7,0
